season,team1,team2,toss_winner,toss_decision,venue,winner,result,result_margin,target_runs
3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,7.0,161.0
3,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Punjab Kings,wickets,7.0,112.0
3,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Mumbai Indians,runs,37.0,175.0
3,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,runs,13.0,152.0
3,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,39.0,184.0
3,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians,wickets,9.0,140.0
3,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium,Royal Challengers Bangalore,wickets,5.0,131.0
3,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Delhi Capitals,wickets,6.0,113.0
3,Punjab Kings,Deccan Chargers,Deccan Chargers,field,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,wickets,5.0,175.0
3,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Mumbai Indians,runs,57.0,192.0
3,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata Knight Riders,wickets,8.0,133.0
3,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,Deccan Chargers,wickets,6.0,193.0
3,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,runs,11.0,146.0
3,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,Kolkata Knight Riders,wickets,9.0,134.0
3,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,Mumbai Indians,runs,35.0,185.0
3,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings,runs,38.0,143.0
3,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Dr DY Patil Sports Academy,Royal Challengers Bangalore,wickets,9.0,83.0
3,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings,runs,22.0,169.0
4,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,2.0,154.0
4,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,wickets,8.0,138.0
4,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Nehru Stadium,Royal Challengers Bangalore,wickets,6.0,162.0
4,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Feroz Shah Kotla,Mumbai Indians,wickets,8.0,96.0
4,Pune Warriors,Punjab Kings,Punjab Kings,bat,Dr DY Patil Sports Academy,Pune Warriors,wickets,7.0,113.0
4,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,runs,9.0,164.0
4,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians,wickets,6.0,152.0
4,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,9.0,141.0
4,Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Dr DY Patil Sports Academy,Pune Warriors,wickets,6.0,189.0
4,Punjab Kings,Chennai Super Kings,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,4.0,149.0
4,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,runs,33.0,176.0
4,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Wankhede Stadium,Kochi Tuskers Kerala,wickets,9.0,160.0
